NO_BLOCO;NO_PAIS
Japão;Japão
China (Com Hong Kong);Macau
Ásia (Outros);Maldivas
Ásia (Outros);Afeganistão
Ásia (Outros);Taiwan (Formosa)
Ásia (Outros);Coreia do Norte
Ásia (Outros); Índia
Ásia (Outros);Quirguistão
Ásia (Outros);Uzbequistão
Ásia (Outros);Geórgia
Ásia (Outros);Paquistão
Ásia (Outros);Azerbaijão
Ásia (Outros);Sri Lanka
Ásia (Outros);Tadjiquistão
Ásia (Outros);Bangladesh
Ásia (Outros);Timor Leste
Ásia (Outros);Nepal
Ásia (Outros);Lebuan, Ilhas
Ásia (Outros);Cazaquistão
Ásia (Outros);Mongólia
Associação de Nações do Sudeste Asiático - ASEAN;Tailândia
Associação de Nações do Sudeste Asiático - ASEAN;Camboja
Associação de Nações do Sudeste Asiático - ASEAN;Laos
Associação de Nações do Sudeste Asiático - ASEAN;Brunei
Associação de Nações do Sudeste Asiático - ASEAN;Vietnã
Associação de Nações do Sudeste Asiático - ASEAN;Cingapura
Associação de Nações do Sudeste Asiático - ASEAN;Mianmar
Associação de Nações do Sudeste Asiático - ASEAN;Malásia
Associação de Nações do Sudeste Asiático - ASEAN;Filipinas
Associação de Nações do Sudeste Asiático - ASEAN;Indonésia
Europa;União das Repúblicas Socialistas Soviéticas
Europa;Noruega
Europa;Reino Unido
Europa;Rússia
Europa;Suíça
Europa;Islândia
Europa;Inglaterra
Europa;Faroe, Ilhas
Europa;Belarus
Europa;Macedônia
Europa;Liechtenstein
Europa;Andorra
Europa;Alboran-Perejil, Ilhas
Europa;Albânia
Europa;Sérvia
Europa;Ucrânia
Europa;Groenlândia
Europa;Tchecoslováquia
Europa;Mônaco
Europa;Moldávia
Europa;Vaticano
Europa;San Marino
Europa;Montenegro
Europa;Gibraltar
Europa;Bósnia-Herzegovina
Europa;Iugoslávia
Oriente Médio;Turquia
Mercado Comum do Sul - Mercosul;Argentina
Mercado Comum do Sul - Mercosul;Paraguai
Mercado Comum do Sul - Mercosul;Internação na Zona Franca de Manaus
Mercado Comum do Sul - Mercosul;Uruguai
Oceania;Nauru
Oceania;Johnston, Ilhas
Oceania;Pitcairn
Oceania;Vanuatu
Oceania;Christmas (Navidad), Ilha
Oceania;Micronésia
Oceania;Marshall, Ilhas
Oceania;Cook, Ilhas
Oceania;Wallis e Futuna, Ilhas
Oceania;Tuvalu
Oceania;Papua, Território de
Oceania;Pacífico, Ilhas do (Território Fideicomisso EUA)
Oceania;Cocos (Keeling), Ilhas
Oceania;Samoa
Oceania;Salomão, Ilhas
Oceania;Pacífico, Ilhas do (EUA)
Oceania;Guam
Oceania;Tonga
Oceania;Norfolk, Ilha
Oceania;Papua Nova Guiné
Oceania;Nova Zelândia
Oceania;Pacífico, Ilhas do (Administração dos EUA)
Oceania;Fiji
Oceania;Samoa Americana
Oceania;Marianas do Norte, Ilhas
Oceania;Midway, Ilhas
Oceania;Palau
Oceania;Wake, Ilha
Oceania;Austrália
Oceania;Niue
Oceania;Toquelau
Oceania;Kiribati
Oceania;Nova Caledônia
Oceania;Polinésia Francesa
Oriente Médio;Iêmen
Oriente Médio;Líbano
Oriente Médio;Coveite (Kuweit)
Oriente Médio;Emirados Árabes Unidos
Oriente Médio;Iêmen Democrático
Oriente Médio;Palestina
Oriente Médio;Arábia Saudita
Oriente Médio;Síria
Oriente Médio;Jordânia
Oriente Médio;Israel
Oriente Médio;Dubai
Oriente Médio;Iraque
Oriente Médio;Omã
Oriente Médio;Irã
Oriente Médio;Barein
Oriente Médio;Catar
União Europeia - UE;Terras Austrais Francesas
União Europeia - UE;Polônia
União Europeia - UE;Lituânia
União Europeia - UE;Chipre
União Europeia - UE;Ilha de Man
União Europeia - UE;Bélgica
União Europeia - UE;Canal, Ilhas do (Guernsey)
União Europeia - UE;Madeira, Ilha da
União Europeia - UE;Malta
União Europeia - UE;Itália
União Europeia - UE;França
União Europeia - UE;Luxemburgo
União Europeia - UE;Hungria
União Europeia - UE;Eslovênia
União Europeia - UE;Suécia
União Europeia - UE;Eslováquia
União Europeia - UE;Aland, Ilhas
União Europeia - UE;Alemanha
União Europeia - UE;Jersey
União Europeia - UE;Tcheca, República
União Europeia - UE;Áustria
União Europeia - UE;Dinamarca
União Europeia - UE;Canárias, Ilhas
União Europeia - UE;Croácia
União Europeia - UE;Espanha
União Europeia - UE;Bulgária
União Europeia - UE;Grécia
União Europeia - UE;Países Baixos (Holanda)
União Europeia - UE;Letônia
União Europeia - UE;Romênia
União Europeia - UE;Guernsey
União Europeia - UE;Finlândia
União Europeia - UE;Estônia
União Europeia - UE;Portugal
União Europeia - UE;Irlanda
